pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
458.0,0.04488778054862843,0.20184331797235022,84.4134538152611,2022.0,Daniel Vogelbach,1992,30.0
470.0,0.048071548351034096,0.290491118077325,84.54274809160306,2022.0,Gary Sánchez,1992,30.0
461.0,0.05592705167173252,0.23669309173272934,83.69760683760686,2022.0,Max Kepler,1993,29.0
397.0,0.06254392129304287,0.3838526912181303,83.08951456310676,2022.0,Maikel Franco,1992,30.0
424.0,0.04478458049886622,0.19958847736625515,84.65822784810126,2022.0,Ji Man Choi,1991,31.0
372.0,0.05189028910303929,0.28593272171253825,82.303125,2022.0,Jackie Bradley Jr.,1990,32.0
461.0,0.05392450569203116,0.33296703296703295,81.73414634146336,2022.0,Jeimer Candelario,1993,29.0
414.0,0.07903549899531145,0.35347043701799485,79.20765306122442,2022.0,Yonathan Daza,1994,28.0
453.0,0.06311274509803921,0.2874251497005988,83.03221238938046,2022.0,Ramón Urías,1994,28.0
380.0,0.05121293800539083,0.28535031847133757,82.49599198396798,2022.0,Brian Anderson,1993,29.0
212.0,0.04668304668304668,0.1561712846347607,80.3082142857143,2022.0,Austin Barnes,1989,33.0
647.0,0.06117353308364544,0.2488619119878604,82.5331325301205,2022.0,Josh Bell,1992,30.0
638.0,0.06593406593406594,0.22664500406173843,84.07134570765663,2022.0,Mookie Betts,1992,30.0
315.0,0.04697986577181208,0.2376237623762376,83.64814814814815,2022.0,Victor Caratini,1993,29.0
352.0,0.05728788977519942,0.2492877492877493,83.45356265356274,2022.0,J.D. Davis,1993,29.0
253.0,0.050411522633744855,0.26765799256505574,82.59479768786132,2022.0,Vimael Machín,1993,29.0
443.0,0.06837606837606838,0.39770114942528734,80.57265861027187,2022.0,Harold Castro,1993,29.0
229.0,0.05924170616113744,0.265625,82.98803088803088,2022.0,Orlando Arcia,1994,28.0
430.0,0.0705421293272371,0.42735042735042733,80.90781499202546,2022.0,Raimel Tapia,1994,28.0
289.0,0.05090909090909091,0.387263339070568,81.60685714285717,2022.0,Aristides Aquino,1994,28.0
534.0,0.0629575402635432,0.30128205128205127,85.79104477611942,2022.0,Teoscar Hernández,1992,30.0
570.0,0.055944055944055944,0.2788879235447437,84.22744310575624,2022.0,Ketel Marte,1993,29.0
347.0,0.06022304832713755,0.35570469798657717,80.42808988764041,2022.0,Eric Haase,1992,30.0
656.0,0.05777945619335347,0.2096168294515402,81.62017937219737,2022.0,Brandon Nimmo,1993,29.0
329.0,0.051470588235294115,0.22928994082840237,81.3013227513228,2022.0,Jace Peterson,1990,32.0
700.0,0.07320754716981132,0.3298898071625344,83.00505263157908,2022.0,Trea Turner,1993,29.0
379.0,0.054187192118226604,0.26322930800542743,81.74904862579282,2022.0,Jacob Stallings,1989,33.0
673.0,0.06001472754050074,0.28661087866108786,83.68777555110219,2022.0,José Ramírez,1992,30.0
652.0,0.059020510673922146,0.17843583902809415,84.82925925925933,2022.0,Alex Bregman,1994,28.0
409.0,0.03558504221954162,0.27759562841530055,83.61954545454547,2022.0,Joey Gallo,1993,29.0
351.0,0.050512445095168376,0.23232323232323232,82.28079470198679,2022.0,Carson Kelly,1994,28.0
658.0,0.06455981941309255,0.3040885860306644,84.87813238770686,2022.0,Corey Seager,1994,28.0
552.0,0.04666355576294914,0.18778077268643306,82.01414835164833,2022.0,Jesse Winker,1993,29.0
268.0,0.057692307692307696,0.25272727272727274,83.90482758620684,2022.0,Matt Reynolds,1990,32.0
225.0,0.08089097303634232,0.3028169014084507,85.50860927152321,2022.0,Joey Meneses,1992,30.0
278.0,0.05149812734082397,0.3082191780821918,82.17943037974685,2022.0,Franchy Cordero,1994,28.0
470.0,0.053691275167785234,0.28450106157112526,84.6121031746032,2022.0,Franmil Reyes,1995,27.0
690.0,0.06691729323308271,0.26483679525222553,83.46488991888765,2022.0,Dansby Swanson,1994,28.0
310.0,0.07547169811320754,0.31156716417910446,80.20423940149622,2022.0,Kevin Newman,1993,29.0
463.0,0.046890927624872576,0.22950819672131148,80.4104129263914,2022.0,Chris Taylor,1990,32.0
593.0,0.06424344885883347,0.27128082736674625,83.27865168539327,2022.0,Carlos Correa,1994,28.0
236.0,0.030395136778115502,0.21443736730360935,81.25254237288135,2022.0,Brett Phillips,1994,28.0
403.0,0.059345156889495224,0.3246217331499312,82.15173076923077,2022.0,Tyrone Taylor,1994,28.0
393.0,0.05478547854785479,0.2696335078534031,85.98459821428574,2022.0,Byron Buxton,1993,29.0
558.0,0.062218214607754736,0.2007011393514461,83.76494252873557,2022.0,Taylor Ward,1993,29.0
315.0,0.06724303554274735,0.4230769230769231,78.34673629242822,2022.0,Tomás Nido,1994,28.0
534.0,0.04579093432007401,0.26666666666666666,84.43571428571434,2022.0,Patrick Wisdom,1991,31.0
366.0,0.07371007371007371,0.3987138263665595,81.64344422700592,2022.0,Joey Wendle,1990,32.0
693.0,0.053552302749018205,0.2841207349081365,84.54973375931839,2022.0,Matt Olson,1994,28.0
246.0,0.06100217864923747,0.2662192393736018,81.4966049382716,2022.0,Matt Duffy,1991,31.0
361.0,0.0696629213483146,0.32285714285714284,81.15958762886596,2022.0,Manuel Margot,1994,28.0
330.0,0.06486042692939245,0.42249240121580545,81.00653594771245,2022.0,Victor Reyes,1994,28.0
524.0,0.05715783953854221,0.3684210526315789,80.34842578710645,2022.0,Jorge Mateo,1995,27.0
349.0,0.048723897911832945,0.29153605015673983,79.69399038461542,2022.0,Andrew Velazquez,1994,28.0
435.0,0.08132726089785296,0.4183796856106409,82.05592948717944,2022.0,Harold Ramírez,1994,28.0
642.0,0.055202541699761715,0.330930064888248,83.8275455519828,2022.0,Anthony Santander,1994,28.0
673.0,0.0646987464617873,0.33886085075702954,83.2638321995465,2022.0,Pete Alonso,1994,28.0
294.0,0.07545271629778671,0.38697318007662834,81.7170163170163,2022.0,Christian Arroyo,1995,27.0
298.0,0.04180327868852459,0.16584564860426929,82.03065902578794,2022.0,Cavan Biggio,1995,27.0
598.0,0.05985748218527316,0.28544600938967135,79.43578199052138,2022.0,Adam Frazier,1991,31.0
348.0,0.06694214876033058,0.4041204437400951,82.28763557483732,2022.0,Jose Trevino,1992,30.0
432.0,0.07489878542510121,0.38873994638069703,81.97290969899669,2022.0,Nick Gordon,1995,27.0
274.0,0.06937033084311633,0.37551020408163266,80.25625000000005,2022.0,Reese McGuire,1995,27.0
311.0,0.04652996845425868,0.25611510791366904,83.97289473684206,2022.0,Jorge Soler,1992,30.0
334.0,0.06466512702078522,0.31176470588235294,82.78049886621315,2022.0,Yadiel Hernandez,1987,35.0
683.0,0.053759252045188936,0.21805111821086262,81.44579881656803,2022.0,Jake Cronenworth,1994,28.0
379.0,0.06030150753768844,0.30603448275862066,82.14279379157425,2022.0,Chad Pinder,1992,30.0
219.0,0.06914893617021277,0.38,81.013986013986,2022.0,José Azocar,1996,26.0
364.0,0.09186351706036745,0.41569282136894825,83.1371663244353,2022.0,Tim Anderson,1993,29.0
547.0,0.04600267976775346,0.3137598597721297,82.78984168865435,2022.0,Cody Bellinger,1995,27.0
602.0,0.0535031847133758,0.208298755186722,79.96363636363637,2022.0,J.P. Crawford,1995,27.0
505.0,0.05845181674565561,0.32949087415946204,81.96401869158886,2022.0,Hunter Dozier,1991,31.0
256.0,0.05660377358490566,0.2816326530612245,82.21126760563376,2022.0,Adam Engel,1991,31.0
242.0,0.05806451612903226,0.23958333333333334,80.34662162162162,2022.0,Jake Fraley,1995,27.0
223.0,0.04540540540540541,0.21929824561403508,82.91601423487545,2022.0,Mitch Garver,1991,31.0
330.0,0.06021341463414634,0.21019108280254778,79.94412416851443,2022.0,Luis Guillorme,1994,28.0
230.0,0.05011655011655012,0.2806603773584906,78.43294117647052,2022.0,Garrett Hampson,1994,28.0
448.0,0.0535924617196702,0.2945128779395297,82.64334365325075,2022.0,Jonah Heim,1995,27.0
587.0,0.05378224748578924,0.3022295623451693,82.88694516971272,2022.0,Trey Mancini,1992,30.0
598.0,0.05218787635487756,0.25162337662337664,83.52829705505762,2022.0,Ryan McMahon,1994,28.0
310.0,0.05393835616438356,0.3150684931506849,81.25314861460961,2022.0,Sheldon Neuse,1994,28.0
389.0,0.049075844486934354,0.2571428571428571,83.54047109207707,2022.0,Tyler O'Neill,1995,27.0
599.0,0.05010615711252654,0.26991869918699185,83.57442489851158,2022.0,Rowdy Tellez,1995,27.0
200.0,0.03936039360393604,0.14555256064690028,82.24753363228699,2022.0,Josh VanMeter,1995,27.0
308.0,0.06899724011039558,0.5110732538330494,81.49520833333328,2022.0,Francisco Mejía,1995,27.0
325.0,0.05194805194805195,0.3611940298507463,80.15312499999996,2022.0,Jose Siri,1995,27.0
664.0,0.07429295061207261,0.40016233766233766,81.97643923240949,2022.0,Amed Rosario,1995,27.0
613.0,0.05453788509575354,0.2968503937007874,82.01205583756357,2022.0,Willy Adames,1995,27.0
219.0,0.049019607843137254,0.2591792656587473,81.29528985507247,2022.0,Sergio Alcántara,1996,26.0
542.0,0.06929637526652452,0.32044760935910477,81.31316165951358,2022.0,Thairo Estrada,1996,26.0
530.0,0.07488050982474774,0.22698744769874477,83.18892086330932,2022.0,Andrew Benintendi,1994,28.0
478.0,0.05914270211611503,0.30484037075180226,83.08538205980064,2022.0,Garrett Cooper,1990,32.0
267.0,0.05855855855855856,0.3747178329571106,78.9558139534884,2022.0,Mauricio Dubón,1994,28.0
244.0,0.06043956043956044,0.20842572062084258,83.58950617283953,2022.0,Danny Jansen,1995,27.0
559.0,0.0597165991902834,0.29464285714285715,78.34719101123598,2022.0,Tony Kemp,1991,31.0
528.0,0.06843501326259947,0.31196581196581197,80.62035040431265,2022.0,Isiah Kiner-Falefa,1995,27.0
583.0,0.08567134268537074,0.29158316633266534,80.7087356321839,2022.0,Jeff McNeil,1992,30.0
302.0,0.056719022687609075,0.3681592039800995,81.70923787528865,2022.0,Frank Schwindel,1992,30.0
278.0,0.062317429406037,0.4251207729468599,81.00911161731206,2022.0,Ozzie Albies,1997,25.0
409.0,0.06071689831748354,0.3293591654247392,77.54193548387101,2022.0,Victor Robles,1997,25.0
614.0,0.07336956521739131,0.3615771812080537,85.6186335403726,2022.0,Rafael Devers,1996,26.0
495.0,0.06538237011091652,0.3301787592008412,83.22451994091583,2022.0,Josh Naylor,1997,25.0
347.0,0.04559748427672956,0.3108728943338438,82.333407079646,2022.0,Abraham Toro,1996,26.0
321.0,0.0647985989492119,0.3261943986820428,81.77116704805493,2022.0,Aledmys Díaz,1990,32.0
459.0,0.04956896551724138,0.2308488612836439,82.09276094276102,2022.0,Luis Urías,1997,25.0
605.0,0.07372881355932204,0.24203821656050956,83.74506578947367,2022.0,Luis Arraez,1997,25.0
331.0,0.07760141093474426,0.31811023622047246,85.59381720430109,2022.0,Eloy Jiménez,1996,26.0
585.0,0.061106155218554864,0.27715030408340574,83.62659846547318,2022.0,Gleyber Torres,1996,26.0
399.0,0.06341463414634146,0.39783491204330174,78.6303191489362,2022.0,Willi Castro,1997,25.0
564.0,0.06701771182383916,0.19467401285583102,85.51599443671763,2022.0,Yandy Díaz,1991,31.0
337.0,0.058639562157935886,0.31541725601131543,83.38457943925233,2022.0,Bryan De La Cruz,1996,26.0
495.0,0.07407407407407407,0.35168539325842696,81.96937931034479,2022.0,Luis Rengifo,1997,25.0
617.0,0.04870384917517675,0.19043947571318426,85.09340659340663,2022.0,Matt Chapman,1993,29.0
436.0,0.06184210526315789,0.39225806451612905,79.95281690140845,2022.0,Michael Chavis,1995,27.0
212.0,0.038331454340473504,0.19463087248322147,84.93580786026202,2022.0,Sam Hilliard,1994,28.0
